DSP	RSCU	dRSCU	CpG?	CpG_exon	f_premrna	f_mrna	TFBs
45	0.6545	0.6909	0.0	0.4599	0.2505	0.1584	1
19	0.7725	1.5988	0.0	0.5427	0.0493	0.2617	0
60	0.7725	1.5988	0.0	0.6981	0.3015	0.3884	0
1	0.6561	0.5503	0.0	0.7246	0.3689	0.488	1
24	0.7725	1.5988	0.0	1.0205	0.4248	0.2622	1
443							0
61	0.4517	0.6547	1.0	0.2881	0.0985	0.4674	0
22	0.6545	0.6909	1.0	0.7897	0.4686	0.1332	0
34	0.6561	0.5503	0.0	0.509	0.2267	0.4832	0
109	0.9296	0.1407	1.0	0.6341	0.1315	0.2568	0
10	0.912	0.4848	1.0	0.8594	0.0652	0.1277	0
30	2.3713	1.1976	0.0	0.5638	0.0074	0.1352	0
21	0.9296	0.1407	0.0	0.5969	0.0123	0.2216	1
16	0.7249	1.1269	0.0	0.4028	0.1438	0.2495	0
22	1.1457	0.0393	0.0	0.6058	0.0617	0.284	0
33	1.0	0.0	0.0	0.6058	0.0642	0.3045	0
43	0.7249	1.1269	0.0	0.672	0.0183	0.0461	1
17	1.1005	0.1058	1.0	0.7725	0.4715	0.3309	0
112	0.8668	0.2664	0.0	0.5442	0.0595	0.47	0
37	0.9288	0.1425	0.0	0.9071	0.0991	0.4665	1
65	1.0835	0.3251	0.0	0.9071	0.101	0.4509	1
28	1.1353	0.6767	1.0	0.7446	0.1755	0.3277	0
33	0.7249	0.2306	0.0	0.6031	0.1821	0.2093	0
45	0.4679	0.4876	0.0	0.4215	0.18	0.2661	0
26	0.912	0.4848	1.0	0.6255	0.1325	0.4758	1
24	0.8455	0.309	0.0	0.5807	0.2638	0.4031	1
2	1.2063	0.0635	1.0	0.4533	0.418	0.4186	0
634							0
412	0.9138	0.1724	0.0	0.943	0.0077	0.1102	0
135	0.7725	1.5988	0.0	0.5416	0.0707	0.2986	1
76	0.4311	1.9401	0.0	1.0251	0.0496	0.3494	1
14	0.912	0.4848	1.0	0.3922	0.2216	0.3473	0
86	1.1064	0.6547	1.0	1.021	0.0122	0.0458	0
62	0.8873	0.2255	0.0	0.6205	0.0768	0.0999	1
35	0.6545	0.3455	0.0	0.7311	0.1182	0.1197	0
63	0.6561	0.4444	0.0	0.7311	0.1232	0.1501	1
14	1.062	0.5368	1.0	0.7029	0.292	0.4912	0
24	1.4086	0.3251	1.0	0.8657	0.0855	0.2335	1
42	1.1457	0.0393	0.0	0.3516	0.1876	0.2397	0
68	0.8952	0.5475	0.0	0.3768	0.2787	0.4572	0
30	0.7249	1.1269	0.0	0.7167	0.1422	0.4776	0
22	0.8385	0.3231	0.0	0.5289	0.0454	0.4163	1
37356	0.3255	0.984	1.0	0.4847	0.3664	0.3664	0
37083	1.062	0.5368	0.0	0.4847	0.1744	0.1744	1
127	0.4762	0.1799	0.0	0.615	0.3171	0.0395	0
16	1.0862	0.1724	1.0	0.8467	0.0914	0.1267	0
74	0.9138	0.1724	1.0	0.9214	0.0895	0.1378	0
611	0.9026	0.5771	1.0	0.6706	0.0721	0.2167	0
48	1.062	0.5368	0.0	0.4465	0.0562	0.3254	0
62	1.3095	0.4069	1.0	0.9492	0.0339	0.3753	0
43	0.7725	1.5988	0.0	0.5172	0.0468	0.2438	0
29	0.9296	0.1407	1.0	0.4557	0.024	0.2194	0
2	1.1457	0.1506	0.0	0.4587	0.0763	0.4812	0
50	0.8952	0.5475	1.0	0.4479	0.0965	0.405	1
29	1.1064	0.6547	1.0	0.5956	0.1126	0.3377	0
53	1.1457	0.0393	0.0	0.4364	0.1407	0.3135	1
11	1.1457	0.6939	1.0	0.6112	0.2166	0.13	0
48	0.6545	0.6909	0.0	0.7429	0.1744	0.2219	0
1	1.1353	0.6767	1.0	0.8657	0.006	0.0574	0
84	1.062	0.5368	1.0	0.7288	0.3417	0.0751	1
73	0.8455	0.309	0.0	0.09	0.4653	0.3997	0
43	0.9296	0.1407	0.0	0.6434	0.41	0.4011	0
271	1.1064	0.6547	1.0	0.8174	0.0228	0.1405	0
78	1.1545	0.309	0.0	0.5613	0.4845	0.2975	0
3	0.7904	0.3832	0.0	0.6638	0.0512	0.145	0
25	0.8952	0.5475	1.0	0.6462	0.0808	0.2888	0
21	0.985	0.1504	0.0	0.8867	0.0947	0.3793	0
5	0.9418	0.1163	1.0	0.7047	0.1889	0.4506	0
42	1.3095	0.984	1.0	0.5884	0.4991	0.3219	1
58	1.1353	0.6767	1.0	0.8926	0.1091	0.0977	1
15	1.8517	1.3839	0.0	0.8926	0.1085	0.0833	0
44	0.9418	0.1163	1.0	0.6291	0.0477	0.0546	0
37							1
31							1
95	0.4311	1.9401	0.0	0.6895	0.1028	0.0859	0
10	0.8455	0.309	0.0	0.4126	0.4291	0.2914	0
64	1.062	0.5368	1.0	0.5175	0.4805	0.2362	0
113	0.912	0.4848	1.0	0.6412	0.3235	0.0769	1
56	0.7725	1.5988	0.0	0.6412	0.3226	0.0695	0
6	1.1245	0.185	0.0	0.5435	0.4579	0.1353	0
10	0.529	0.9419	0.0	0.8235	0.2114	0.1992	0
1	0.529	0.9419	0.0	0.547	0.2762	0.1545	0
13	0.912	0.6869	0.0	0.7204	0.4982	0.1538	0
71	0.7249	1.1269	0.0	0.7402	0.179	0.3805	0
125	1.1064	0.6547	1.0	0.3079	0.4192	0.4203	0
22	1.1064	0.6547	1.0	0.3089	0.3848	0.4148	1
9	1.1064	0.6547	1.0	0.3089	0.3937	0.3875	0
44	0.7249	0.257	0.0	0.2132	0.1058	0.4715	0
43	0.7904	1.5808	0.0	0.4132	0.1337	0.4255	1
10	0.7249	0.2306	1.0	0.7347	0.1487	0.3783	0
30	1.0835	0.3251	1.0	0.1917	0.2874	0.1136	0
2	0.9296	0.1407	1.0	0.713	0.0273	0.0223	0
361	0.9026	0.4069	0.0	0.952	0.0039	0.0195	0
76	0.8455	0.309	0.0	0.3458	0.0072	0.0866	0
27	1.1353	0.6767	1.0	0.3811	0.2085	0.2218	0
156	0.9296	0.1407	1.0	0.3811	0.2032	0.268	0
69							0
596	0.4311	1.9401	0.0	0.3994	0.0208	0.2504	0
324	2.3713	1.1976	1.0	0.2859	0.0928	0.1955	1
30	1.2698	0.0635	1.0	0.8344	0.0535	0.1814	0
141	0.3255	0.984	1.0	0.6548	0.3032	0.2982	0
209	0.4586	0.9624	1.0	0.4932	0.3776	0.2283	0
59	2.3713	1.5808	0.0	0.6538	0.4592	0.4795	0
106	1.062	0.5368	1.0	0.5888	0.1063	0.326	1
91	1.062	0.5368	1.0	0.5888	0.1063	0.3278	1
42	1.062	0.5368	0.0	0.1857	0.1003	0.3434	1
24	0.4611	0.0299	0.0	0.5745	0.0936	0.3563	1
73	0.529	0.9419	0.0	0.6477	0.0378	0.379	0
43	1.4427	0.5475	1.0	0.6477	0.0378	0.3825	0
138	1.5988	0.6869	1.0	0.3828	0.0328	0.4365	0
35	0.7725	1.5988	0.0	0.3101	0.3039	0.1738	1
95	0.912	0.4848	1.0	0.3726	0.3076	0.355	1
29	1.1064	0.6547	1.0	0.5337	0.4417	0.3722	0
677	1.1457	0.0393	0.0	0.2637	0.1369	0.3602	0
28							0
54	1.1064	0.6547	1.0	0.6219	0.0015	0.0121	1
239	1.1457	0.0393	0.0	0.6323	0.3084	0.3969	0
40	1.1457	0.1506	1.0	0.6323	0.3311	0.4152	0
50	0.6545	0.6909	1.0	0.4793	0.3177	0.314	0
68	0.6545	0.3455	0.0	0.4793	0.3167	0.3065	0
56	0.4679	1.3839	0.0	0.4793	0.314	0.284	0
51	1.1245	0.185	0.0	0.374	0.0167	0.4956	1
189	0.4517	0.8445	1.0	0.374	0.017	0.4783	0
43	0.7904	0.3832	0.0	0.8187	0.0252	0.2899	0
6	1.062	0.1501	0.0	0.1302	0.3117	0.2026	0
46	0.7725	1.5988	0.0	0.1982	0.003	0.0864	0
189	0.985	0.1504	0.0	0.4601	0.0013	0.0195	0
1	1.0	0.0	0.0	0.2125	0.0022	0.0325	0
81	1.1064	0.6547	1.0	0.2677	0.0232	0.313	0
33	0.9288	0.1425	1.0	0.2677	0.0246	0.3326	0
36	0.4679	0.4876	0.0	0.5365	0.0465	0.4151	0
11	1.062	0.5368	1.0	0.6608	0.0954	0.4011	0
150	1.1064	0.1899	1.0	0.5551	0.0027	0.059	0
277	1.1127	0.2255	0.0	0.2884	0.2869	0.0683	0
82	0.3255	0.5771	1.0	0.2884	0.2922	0.0897	0
92	1.062	0.5368	1.0	0.6279	0.249	0.1312	1
11	1.1457	0.6939	1.0	0.6279	0.2468	0.1401	1
413	0.985	0.4361	0.0	0.5758	0.1743	0.1989	1
41	0.6545	0.6909	0.0	0.5758	0.1694	0.3183	0
12	0.9296	0.1407	1.0	0.7209	0.4041	0.1272	0
35	0.985	0.4361	0.0	0.3206	0.1162	0.4997	0
44	1.1005	0.1058	0.0	0.5126	0.1566	0.3921	0
67	1.0712	0.1425	1.0	0.275	0.443	0.3771	0
80	1.062	0.1501	0.0	0.3749	0.264	0.1491	1
59	1.1245	0.185	0.0	0.2308	0.4895	0.2414	0
16	1.1064	0.6547	1.0	0.2735	0.3998	0.3196	1
28	1.4211	0.4361	0.0	0.2735	0.3993	0.3327	1
61	0.7904	0.3832	1.0	1.0357	0.1352	0.3782	0
24	0.912	0.6869	0.0	0.2089	0.3602	0.2128	0
26	0.8455	0.309	0.0	0.3582	0.3504	0.2219	1
70	1.1353	0.6767	1.0	0.8891	0.3244	0.2701	1
51	0.7904	0.3593	0.0	0.4261	0.1288	0.4239	0
31	0.9296	0.1407	0.0	0.6494	0.0593	0.3449	0
117	1.1353	0.6767	1.0	0.4569	0.0865	0.4892	0
22	1.0712	0.1425	1.0	0.6677	0.0794	0.1989	0
23	1.1457	0.0393	0.0	0.4888	0.0903	0.383	1
265	0.6545	0.6909	1.0	0.5443	0.1085	0.3076	0
38	0.985	0.4361	0.0	0.5915	0.1494	0.1116	1
588	0.8455	0.309	0.0	0.2777	0.0494	0.31	0
153	1.1353	0.6767	1.0	0.2777	0.0624	0.4774	0
30	1.0	0.0	0.0	0.5	0.2148	0.3636	0
51	0.9296	0.1407	1.0	0.3459	0.3159	0.2191	0
49	0.7904	0.3832	0.0	0.362	0.1638	0.0268	1
449	0.912	0.1501	0.0	0.2779	0.0326	0.2758	0
35	1.1353	0.6767	1.0	0.2435	0.1782	0.4749	0
15	0.4311	1.9401	0.0	0.513	0.4039	0.4293	0
6							0
57	1.1005	0.4444	0.0	0.4567	0.0542	0.0882	0
19	0.8668	0.2664	0.0	0.4054	0.1354	0.2758	0
197	0.8952	0.5475	0.0	0.285	0.0629	0.1868	0
51	0.4762	0.6243	1.0	0.5255	0.1243	0.1699	1
13	0.8455	0.309	0.0	0.252	0.0944	0.1403	1
264	1.062	0.5368	0.0	0.7561	0.3771	0.0763	0
23	0.7725	1.5988	0.0	0.3111	0.3431	0.3843	0
48	1.0862	0.1724	0.0	0.5712	0.1867	0.4632	0
29	0.8668	0.2664	0.0	0.3613	0.1128	0.3596	1
61	0.9138	0.1724	1.0	0.4087	0.0343	0.2532	1
55	0.4311	1.9401	0.0	0.8441	0.1253	0.3219	0
30	0.4679	1.3839	0.0	0.4694	0.2942	0.4574	1
31							0
56	0.4611	0.3114	0.0	0.6269	0.1524	0.3474	0
28							0
1662							0
542							0
23							0
102							0
7	0.9288	0.1425	0.0	0.466	0.4015	0.245	1
22	0.8952	0.5475	1.0	0.466	0.4022	0.2429	1
31	0.8455	0.309	0.0	0.242	0.4308	0.1993	0
22	2.3713	1.1976	0.0	0.7085	0.4472	0.1792	0
39							0
18	1.1245	0.185	1.0	0.6461	0.4755	0.1014	0
88	2.3713	1.1976	0.0	0.5248	0.0989	0.2092	0
50	0.4311	1.9401	0.0	0.8387	0.0034	0.0459	0
46	0.8668	0.2664	0.0	0.4577	0.3848	0.1518	0
26	0.7904	0.3832	0.0	0.5361	0.4397	0.1993	1
32	1.1332	0.2664	0.0	0.5361	0.4398	0.2013	1
48	0.7725	1.5988	0.0	0.5006	0.4547	0.2649	1
17	1.1353	0.6767	1.0	0.5263	0.3526	0.3123	0
13	1.1353	0.1504	0.0	0.5264	0.2534	0.3456	0
59	1.3095	0.984	1.0	0.569	0.3184	0.1614	0
66	0.985	0.1504	0.0	0.507	0.1702	0.2868	0
77	0.8952	0.5475	0.0	0.2718	0.0569	0.3456	0
62	1.1005	0.4444	1.0	0.5367	0.1132	0.0994	0
24	0.4679	1.3839	0.0	0.76	0.1524	0.1395	0
38	0.4679	0.4876	1.0	0.76	0.1527	0.1439	0
11	1.1353	0.6767	1.0	0.76	0.1528	0.1456	0
336	0.4311	0.0299	0.0	0.3983	0.1635	0.1669	0
641	0.4611	0.3114	0.0	0.3983	0.1679	0.243	1
441	1.1457	0.0393	0.0	0.1861	0.1883	0.3189	1
73	0.7904	1.5808	0.0	0.4031	0.289	0.4223	0
85	0.4311	1.9401	0.0	0.4031	0.289	0.4232	0
75	0.4679	0.4876	0.0	0.2908	0.4215	0.4333	0
16	2.3713	1.1976	0.0	0.4688	0.3433	0.2484	0
49	1.1245	0.185	0.0	0.4888	0.0182	0.2057	0
69	1.1457	0.6939	1.0	0.4516	0.2181	0.3926	1
42	1.8517	0.8962	0.0	0.2143	0.2298	0.469	0
76	1.1353	0.6767	1.0	0.0915	0.0041	0.0584	0
8	1.1457	0.1506	0.0	0.3778	0.1131	0.3994	0
72	1.1353	0.6767	1.0	0.1241	0.391	0.1472	0
250	1.062	0.5368	0.0	0.1973	0.0947	0.3502	0
67	0.8668	0.2664	0.0	0.1974	0.1182	0.4495	0
115	0.7904	1.5808	0.0	0.2243	0.4158	0.0918	0
538	0.4679	1.3839	0.0	0.2405	0.0076	0.027	0
511	0.9418	0.1163	0.0	0.2405	0.0127	0.0448	0
445	0.4311	1.9401	0.0	0.1704	0.0351	0.186	0
241	0.5079	0.9007	0.0	0.2843	0.2752	0.4564	0
206	0.6545	0.3455	0.0	0.6701	0.004	0.0492	0
938	1.0	0.3455	0.0	0.3856	0.1048	0.3239	0
989	0.9555	0.8962	0.0	0.3856	0.1042	0.3307	1
879	0.7725	0.3114	0.0	0.3856	0.0736	0.3276	0
164	0.7904	0.3832	1.0	1.0816	0.0019	0.0729	1
27	1.5988	0.6869	0.0	0.6834	0.1662	0.0505	0
16	0.4311	1.9401	0.0	0.2333	0.4682	0.2921	1
61	0.6545	0.6909	0.0	0.4534	0.2146	0.1951	0
21	0.9418	0.1163	0.0	0.6101	0.3979	0.3924	0
10	1.4086	0.3251	1.0	0.5154	0.4341	0.425	0
29	0.4586	0.9624	1.0	0.2031	0.0024	0.039	1
11	0.8455	0.309	0.0	0.0	0.4806	0.2525	0
171	0.529	0.9419	0.0	0.443	0.1412	0.4406	0
6	1.0835	0.3251	0.0	0.625	0.0479	0.3066	0
81	1.1615	0.3231	1.0	0.625	0.0464	0.2885	0
128	1.0835	0.5756	0.0	0.4498	0.37	0.4482	1
76	0.6545	0.6909	0.0	0.5222	0.1543	0.2585	0
207	1.1353	0.2857	0.0	0.6263	0.3089	0.0718	0
481	1.1737	1.1976	1.0	0.3992	0.1284	0.2072	0
757	1.1332	0.2664	0.0	0.3992	0.1254	0.2298	0
3367	0.6545	0.3455	0.0	0.3992	0.0972	0.4433	0
3439	0.4271	0.6349	1.0	0.3992	0.0965	0.4492	1
3991	0.4586	0.9624	1.0	0.3992	0.0905	0.4943	1
3618	2.3713	1.5988	0.0	0.3992	0.0844	0.4591	0
3088	0.4517	0.6547	1.0	0.3992	0.0786	0.4158	0
22	1.1545	0.309	0.0	0.4718	0.0267	0.1096	0
8							0
155	0.8668	0.2664	0.0	0.28	0.2508	0.3301	1
165	1.1353	0.6767	1.0	0.2853	0.3287	0.4578	1
58	0.9296	0.1407	1.0	0.6171	0.3453	0.3759	0
27	0.4517	0.6939	1.0	0.6296	0.488	0.3628	0
42	1.0712	0.1425	1.0	0.5404	0.1007	0.2314	1
37	0.9026	0.5771	1.0	0.5404	0.0997	0.2272	1
53	0.9296	0.1407	1.0	0.6196	0.1121	0.4109	0
38	1.1457	0.1506	0.0	0.3683	0.3679	0.1464	1
91	0.4679	1.3839	0.0	0.3673	0.0281	0.2253	1
25	0.6561	0.5503	0.0	0.3673	0.0302	0.2419	0
51	0.9288	0.1425	0.0	0.8478	0.162	0.2608	0
68	0.6545	0.6909	1.0	0.6221	0.2807	0.4599	0
317	1.1245	0.185	1.0	0.6209	0.2327	0.1668	0
150	1.4211	0.4361	1.0	0.6209	0.2263	0.1153	0
28	0.912	0.6869	0.0	0.5102	0.4987	0.417	0
63	1.1064	0.0393	0.0	0.3504	0.1617	0.4314	0
52	0.8455	0.309	0.0	0.576	0.2299	0.4872	0
1098	1.0712	0.1425	1.0	0.2807	0.0061	0.2097	0
25	0.4517	0.6939	1.0	0.3584	0.0352	0.3545	1
20	1.1127	0.2255	0.0	0.4062	0.4546	0.163	1
119	1.1457	0.0393	0.0	0.3082	0.3626	0.1065	1
19	0.7904	1.5808	0.0	0.4417	0.0576	0.2541	0
222	1.1353	0.2857	0.0	0.4141	0.2884	0.4208	1
6							0
26	0.4271	0.4848	1.0	0.7352	0.047	0.0436	0
4	0.912	0.6869	0.0	0.466	0.4791	0.3528	0
49	0.8455	0.309	0.0	0.5625	0.3659	0.4979	1
20	0.912	0.4848	1.0	0.5813	0.1349	0.287	0
97	0.9026	0.5771	1.0	0.6174	0.0914	0.2414	1
66	0.4311	1.9401	0.0	0.4171	0.0745	0.2171	1
78	0.4311	1.9401	0.0	0.6128	0.052	0.159	1
21	0.4679	1.3839	0.0	0.2783	0.1447	0.3057	0
8	1.1457	0.0393	0.0	0.5154	0.4493	0.2698	0
21	0.9296	0.1407	0.0	0.5154	0.4478	0.26	0
147	0.4271	1.1717	1.0	0.2453	0.045	0.4566	0
34	0.9418	0.1163	1.0	0.3413	0.0888	0.3857	0
13	0.4679	1.3839	0.0	0.3724	0.2998	0.2812	0
43	1.1737	0.3832	1.0	0.4667	0.3234	0.2434	0
24	1.2962	0.1506	0.0	0.7536	0.3391	0.2283	1
28	0.985	0.1504	0.0	0.4407	0.4233	0.0876	0
5	0.6545	0.6909	1.0	0.584	0.4538	0.1126	0
7	1.0	0.0	0.0	0.2271	0.4718	0.1282	1
27	0.6545	0.6909	0.0	0.356	0.4935	0.1367	0
41	0.6545	0.6909	0.0	0.3193	0.4877	0.171	0
36	0.9138	0.1724	0.0	0.2593	0.1799	0.412	0
7	0.4679	1.3839	0.0	0.6596	0.2983	0.0433	0
14	0.7249	1.1269	0.0	0.4144	0.3982	0.2211	0
4	0.4679	1.3839	0.0	0.6655	0.3747	0.3068	1
21	0.8873	0.2255	1.0	0.4805	0.3095	0.3472	0
13	1.0582	0.1163	0.0	0.0	0.0915	0.2737	0
145	0.6545	0.6909	1.0	1.0911	0.0418	0.0869	0
146	0.8952	0.5475	1.0	1.0911	0.0418	0.0861	0
75	0.4762	0.6243	1.0	0.7211	0.3624	0.2394	0
39	0.7725	1.5988	0.0	0.5305	0.4891	0.4438	0
86	0.6545	0.6909	0.0	0.6005	0.087	0.2901	0
106	2.3713	1.1976	0.0	0.5538	0.0532	0.2461	0
4	0.7725	1.5988	0.0	0.4078	0.018	0.3047	0
16	0.7725	1.5988	0.0	0.4078	0.0179	0.3111	0
390	0.4679	1.3839	0.0	0.4078	0.0126	0.4874	0
522	0.4311	1.9401	0.0	0.4078	0.0108	0.4164	0
8	1.1457	0.1506	0.0	0.3164	0.0605	0.4187	0
194	1.0712	0.1425	0.0	0.6545	0.048	0.3801	0
107	1.0835	0.3251	0.0	0.3813	0.1886	0.1886	0
14	0.9296	0.1407	1.0	0.7519	0.4845	0.1978	0
557	0.985	0.1504	0.0	0.4685	0.0185	0.1476	0
321	0.985	0.1504	0.0	0.6832	0.249	0.3189	0
279	0.4762	0.6243	0.0	0.6832	0.2469	0.3023	0
138	0.5079	0.5756	0.0	0.6832	0.2399	0.2463	0
27	0.8455	0.309	0.0	0.6832	0.2344	0.2023	0
121	0.7904	0.3832	0.0	0.3267	0.1102	0.144	0
39	0.8385	0.3231	0.0	0.6895	0.1182	0.2322	1
15	0.9296	0.1407	1.0	1.0192	0.0125	0.1114	0
339	0.985	0.4361	1.0	1.0192	0.0063	0.0559	0
624	0.9288	0.1425	1.0	1.0192	0.0008	0.007	0
24	0.8385	0.3231	0.0	0.7333	0.0738	0.0562	0
33	0.985	0.5263	1.0	0.5376	0.0904	0.0819	0
78	0.4311	1.9401	0.0	0.1115	0.139	0.1161	1
38	0.912	0.6869	0.0	0.4632	0.1674	0.159	0
90	1.1064	0.6547	1.0	0.2337	0.1913	0.1741	1
36	1.1353	0.2857	0.0	0.3241	0.2219	0.2013	0
27	1.062	0.5368	1.0	0.4029	0.2306	0.2177	1
21	1.1353	0.6767	1.0	0.4029	0.2307	0.2181	1
29	1.0704	0.1407	1.0	0.2073	0.2384	0.2311	0
41	0.8668	0.2664	0.0	0.2073	0.2385	0.2319	0
93	0.4679	1.3839	0.0	0.7029	0.3154	0.3246	1
25	1.062	0.1501	0.0	0.4155	0.3692	0.3498	0
6	0.4586	0.6767	1.0	0.1721	0.2285	0.1381	0
5	0.7904	0.3832	0.0	0.2691	0.1932	0.132	1
53	1.4211	0.2857	1.0	0.4727	0.0839	0.0289	0
36	0.8668	0.2664	0.0	0.9857	0.0011	0.0091	0
31	0.7904	0.3832	0.0	0.517	0.3536	0.3471	0
48	1.1457	0.1506	0.0	0.3527	0.4932	0.252	0
7	0.4762	0.6243	0.0	0.775	0.1574	0.4084	1
3	0.9288	0.1425	0.0	0.4729	0.1214	0.4044	0
186	1.1457	0.1506	0.0	0.2766	0.1107	0.3491	1
184	1.1064	0.0393	0.0	0.7203	0.0698	0.497	0
42	0.4311	0.7425	0.0	0.5373	0.0422	0.3034	1
252	0.4679	1.3839	0.0	0.1878	0.0083	0.3295	0
3	0.9138	0.1724	0.0	0.6243	0.1577	0.4546	1
56	0.7904	0.3832	0.0	0.2491	0.498	0.4129	1
59	0.985	0.1504	0.0	0.5524	0.2825	0.3424	0
8	1.0835	0.5756	0.0	0.3986	0.4842	0.189	0
152	1.1545	0.309	0.0	0.2388	0.1848	0.2475	0
56	1.062	0.5368	0.0	0.3761	0.3088	0.0623	1
50	0.8455	0.309	0.0	0.7146	0.3432	0.0858	0
105	1.1353	0.6767	1.0	0.3632	0.3683	0.1461	1
61	0.8455	0.309	0.0	0.6316	0.4913	0.2856	0
15	0.7249	1.1269	0.0	0.0	0.422	0.3023	0
21	1.0862	0.1724	1.0	0.459	0.3861	0.3285	0
32	1.1353	0.6767	1.0	0.4715	0.1027	0.32	0
35993	1.0	0.0	0.0	0.7319	0.33	0.33	0
35561	1.1064	0.6547	1.0	0.7319	0.4973	0.4973	1
43	1.062	0.5368	0.0	0.362	0.2564	0.2729	0
72	0.8952	0.5475	1.0	0.3942	0.3877	0.397	1
78	0.912	0.6869	0.0	0.3942	0.3889	0.4137	0
41	0.4679	0.4876	0.0	0.3315	0.444	0.4074	0
48	0.8952	0.5475	1.0	0.4834	0.3052	0.3328	1
63	0.9026	0.5771	1.0	0.7157	0.3453	0.2874	1
18	1.1245	0.185	0.0	0.0	0.0617	0.2775	1
17	1.1245	0.2219	0.0	0.2654	0.1166	0.3368	0
43	0.7904	1.5808	0.0	0.2285	0.1572	0.4652	0
9	0.9288	0.1425	0.0	0.2843	0.1524	0.0434	0
47	1.062	0.5368	0.0	0.2105	0.0267	0.4537	1
23	0.985	0.4361	0.0	0.3219	0.0302	0.3419	1
42	1.1245	0.185	0.0	0.3219	0.0308	0.3531	1
55	0.9026	0.5771	1.0	0.7381	0.0458	0.3848	0
16	1.0835	0.5756	0.0	0.963	0.1045	0.469	0
15	0.8952	0.5475	0.0	0.6481	0.1364	0.4793	1
28	0.8385	0.3231	1.0	0.7697	0.2099	0.3162	0
4	0.9288	0.1425	0.0	0.7697	0.2102	0.3093	0
34	0.4311	0.7425	0.0	0.3798	0.2388	0.2303	1
36	2.3713	1.9401	0.0	0.248	0.4476	0.3371	0
72	2.3713	1.1976	0.0	0.2423	0.4798	0.2338	0
44	2.3713	1.1976	0.0	0.0451	0.0176	0.0568	0
98	0.6545	0.6909	1.0	0.3414	0.01	0.0803	1
119	0.6561	0.4444	0.0	0.6703	0.0585	0.1496	0
53	1.1457	0.1506	0.0	0.7159	0.0965	0.2252	0
8	0.4517	0.6547	1.0	0.5352	0.1465	0.3045	0
68	0.6545	0.6909	0.0	0.4377	0.1497	0.3098	1
69	1.062	0.1501	0.0	0.5386	0.1747	0.3688	0
51	0.6545	0.6909	1.0	0.677	0.2455	0.4927	1
32	0.8455	0.309	0.0	0.546	0.2561	0.4953	0
59	1.0	0.3455	0.0	0.5812	0.2577	0.489	0
64	1.062	0.1501	0.0	0.3338	0.2823	0.4384	1
24	1.0835	0.3251	1.0	0.6598	0.2848	0.4241	1
