DSP	RSCU	dRSCU	CpG?	CpG_exon	f_premrna	f_mrna	TFBs
69	0.9288	0.1425	1.0	0.575	0.1243	0.1116	0
885	0.4311	1.9401	0.0	0.3396	0.1153	0.1607	0
202	0.8668	0.2664	0.0	0.9155	0.3625	0.4802	0
79	0.529	0.9419	0.0	0.4247	0.0837	0.1096	0
88	0.9288	0.1425	0.0	0.1341	0.3992	0.2563	1
27	1.3095	0.185	0.0	0.2299	0.3226	0.0964	0
333	1.1332	0.2664	0.0	0.122	0.0981	0.3287	0
30947	0.9288	0.1425	0.0	0.3388	0.1423	0.1423	0
71							0
26470	1.8517	0.8962	0.0	0.1403	0.4376	0.4376	0
5							1
198							1
156	0.9288	0.1425	1.0	0.3007	0.1629	0.3059	0
55	0.9296	0.1407	1.0	1.1591	0.4881	0.2277	0
4							0
1079	1.1353	0.1504	0.0	0.205	0.1222	0.2945	0
58							0
113							1
272	0.9296	0.1407	1.0	0.6056	0.0056	0.1294	0
1010							1
82	0.7904	1.5808	0.0	0.2059	0.4592	0.4568	0
66	1.1737	1.1976	0.0	0.2039	0.4277	0.4103	1
83	0.9288	0.1425	0.0	0.6198	0.1766	0.2474	0
239	1.0	0.0	0.0	0.4274	0.0449	0.3774	1
36	0.8385	0.3231	1.0	0.4192	0.2383	0.467	0
31	0.8873	0.2255	0.0	0.4762	0.024	0.4443	0
1238	1.291	0.0212	0.0	0.3721	0.0153	0.32	0
1226	0.985	0.1504	0.0	0.5632	0.1846	0.1846	1
11							0
8	0.6545	0.6909	0.0	0.0934	0.3027	0.3564	1
69	1.0	0.3455	0.0	0.1403	0.4838	0.068	0
1397	1.1353	0.2857	0.0	0.3928	0.1812	0.2885	0
41	0.7904	1.5808	0.0	0.5529	0.145	0.118	1
79	0.6545	0.6909	1.0	0.9655	0.0037	0.0808	1
1261	1.5988	0.5368	0.0	0.4226	0.2598	0.448	0
130							0
196	0.7904	0.3832	0.0	0.9794	0.004	0.0519	1
4227	0.985	0.4361	0.0	0.9123	0.4857	0.4857	0
32	0.7249	0.2306	0.0	0.381	0.0469	0.2923	0
26	0.6561	0.1799	0.0	0.2996	0.4872	0.0735	0
14							1
1103	0.4517	0.6547	1.0	0.2176	0.0232	0.2492	0
12523							0
1814	0.7904	0.3832	0.0	0.2545	0.3704	0.3541	0
315	0.4762	0.6243	1.0	0.2957	0.0245	0.2782	1
83	0.8668	0.2664	0.0	0.3063	0.4007	0.4988	0
378	0.529	0.9419	0.0	0.1966	0.0725	0.3566	0
8	0.9418	0.1163	1.0	0.3282	0.4506	0.3902	0
76							0
26	1.0	0.0	0.0	0.0	0.3204	0.4249	0
51	0.5079	0.9007	0.0	0.7038	0.0546	0.4432	1
27	0.7725	0.3114	0.0	0.0	0.2097	0.1958	1
485	0.6545	0.6909	0.0	0.5391	0.0645	0.3065	0
74	1.1127	0.2255	0.0	0.3827	0.4789	0.2547	0
68	0.7249	1.1269	0.0	0.2104	0.1355	0.0728	0
38	0.8952	0.5475	0.0	0.1369	0.0468	0.3135	0
87	0.4611	0.0299	0.0	0.6072	0.214	0.4719	0
68	0.4586	0.5263	1.0	0.314	0.4098	0.379	1
52	0.5079	0.9007	1.0	0.5932	0.4008	0.2448	0
4							0
118	0.4517	0.6547	1.0	0.2784	0.2086	0.0739	0
71	1.0	0.0	0.0	0.156	0.4291	0.3775	0
95	1.0835	0.3251	1.0	0.3827	0.4792	0.2494	1
204	0.9288	0.1425	0.0	0.7818	0.0049	0.4552	0
62							1
39							1
38	0.9296	0.1407	1.0	0.5695	0.0426	0.1157	0
230	0.9288	0.1425	1.0	0.4073	0.1508	0.2225	0
5							0
42	0.4762	0.6243	1.0	0.8772	0.3547	0.2757	1
50	0.4762	0.7302	0.0	0.7374	0.4532	0.0823	0
72	0.4679	1.3839	0.0	0.202	0.1747	0.4299	1
58	1.2698	0.0635	1.0	0.6157	0.4429	0.1212	0
117	0.9418	0.1163	1.0	0.1341	0.1793	0.4184	0
25	0.7904	0.3832	0.0	0.1491	0.2612	0.4766	0
12	1.0835	0.5756	0.0	0.1528	0.0202	0.2018	0
53	0.7249	0.2306	0.0	0.5556	0.4931	0.2698	0
29	0.9296	0.1407	1.0	0.3915	0.024	0.1367	0
120	0.9288	0.1425	1.0	0.8741	0.2214	0.219	0
218	0.4762	0.6243	0.0	0.2162	0.0099	0.474	0
942	0.7904	0.3832	0.0	0.1055	0.0394	0.0488	0
32							0
379	1.1457	0.1506	0.0	0.9709	0.1831	0.2608	1
45							1
50	0.7249	0.2306	1.0	0.6375	0.0682	0.4992	0
2	0.4311	0.0299	0.0	0.1231	0.3156	0.1408	0
86	0.7904	0.3832	1.0	0.3666	0.1009	0.1634	0
588	0.8952	0.5475	0.0	0.4748	0.0204	0.1218	1
36							0
46							0
128	1.1064	0.6547	1.0	0.3988	0.2287	0.21	0
10796	0.7725	1.5988	0.0	0.7084	0.3715	0.3715	0
68	0.6545	0.3455	0.0	0.0	0.2625	0.2618	0
62461	1.1615	0.3231	0.0	0.6708	0.3336	0.3336	0
33	0.8873	0.2255	1.0	0.2201	0.2594	0.162	0
131	0.6561	0.4444	1.0	0.8839	0.0636	0.2355	1
3	1.4086	0.9007	1.0	0.206	0.0291	0.3679	1
329	1.4427	0.5475	0.0	0.5158	0.1533	0.1618	1
113							1
2	0.7249	1.1269	0.0	0.2508	0.3341	0.2974	0
678	0.4517	0.6939	1.0	0.5866	0.05	0.05	0
57							1
128	0.8455	0.309	0.0	0.2804	0.2978	0.2737	1
33	0.9288	0.1425	0.0	0.2799	0.1763	0.3003	0
290	0.9296	0.1407	1.0	0.6564	0.0046	0.2387	1
21	1.0	0.3455	0.0	0.3275	0.4486	0.0685	1
145137							0
47							0
263	0.985	0.1504	0.0	0.148	0.3995	0.1686	0
39	1.1457	0.1506	0.0	0.0	0.0559	0.1744	0
169	1.1245	0.185	0.0	0.4376	0.0795	0.1614	1
5233	0.9288	0.1425	1.0	0.6268	0.3202	0.3202	0
366	0.7904	0.3832	1.0	0.3533	0.1965	0.3695	0
61							0
27	0.9296	0.1407	1.0	0.7022	0.2479	0.4216	0
97533	0.4679	1.3839	0.0	0.1958	0.0458	0.0458	0
22	0.8873	0.2255	1.0	0.9583	0.1568	0.1344	0
104	1.1457	0.1506	1.0	0.7656	0.0299	0.3846	1
6	0.3255	0.799	1.0	0.0	0.38	0.1776	1
3639	1.0582	0.1163	0.0	0.2395	0.2605	0.2605	0
87	1.1457	0.1506	1.0	0.3494	0.0609	0.1072	1
172	1.1127	0.2255	0.0	0.357	0.3983	0.4936	0
23	2.3713	1.1976	0.0	0.1516	0.1448	0.0578	0
38	0.9296	0.1407	1.0	0.6	0.2778	0.2358	0
25	0.4762	0.1799	0.0	0.5248	0.2465	0.1061	0
17	0.912	0.4848	1.0	0.1444	0.3601	0.1556	0
45	0.4762	0.6243	1.0	0.6146	0.271	0.2666	1
2	0.7249	1.1269	0.0	0.9207	0.0466	0.1608	0
279	0.9296	0.1407	1.0	0.4969	0.1736	0.4355	0
46	1.0	0.0	0.0	0.4132	0.4662	0.4269	1
12	0.9418	0.1163	1.0	0.3478	0.3597	0.3701	0
28881	0.9288	0.1425	0.0	0.204	0.3417	0.3417	1
185	0.9296	0.1407	1.0	1.0092	0.0044	0.1065	0
56	1.0835	0.3251	1.0	0.4323	0.1514	0.1762	0
8							1
42	0.8668	0.2664	0.0	0.0	0.3013	0.0746	1
110	0.7904	0.3832	0.0	0.5094	0.478	0.4901	0
94	0.4311	0.0299	0.0	0.1703	0.095	0.0804	0
46	0.8455	0.309	0.0	0.6122	0.0137	0.4331	0
1050	1.1457	0.1506	0.0	0.2691	0.383	0.3443	0
528	1.1127	0.2255	0.0	0.3297	0.2133	0.4876	0
420	1.0835	0.3251	0.0	0.3874	0.0069	0.3916	0
168	0.9288	0.1425	1.0	0.4621	0.1309	0.2828	1
49	0.9296	0.1407	0.0	0.591	0.2084	0.2018	0
71	0.9288	0.1425	0.0	0.1233	0.2866	0.2292	0
5							0
58	0.9288	0.1425	0.0	0.3486	0.3813	0.1307	1
167	0.9296	0.1407	0.0	1.017	0.1984	0.355	0
176							0
68	1.4427	0.5475	1.0	0.0	0.2823	0.4434	0
414							0
58							0
3	0.9296	0.1407	1.0	0.5188	0.3034	0.2838	0
10							0
30	0.8952	0.5475	0.0	0.1039	0.3883	0.3339	0
56	1.1737	0.7425	0.0	0.3663	0.1183	0.1118	1
15							0
64	0.4679	0.4876	0.0	0.5824	0.2355	0.3275	0
43							0
168	0.9288	0.1425	0.0	0.1966	0.1922	0.3518	0
8							1
3173	0.8668	0.2664	0.0	0.2555	0.0296	0.4104	0
10308							0
31	1.0582	0.1163	1.0	0.4741	0.4107	0.3905	0
41							0
264	1.3455	0.6909	1.0	0.7011	0.3037	0.1531	0
224							0
308	1.291	0.0212	0.0	0.4101	0.2428	0.3449	0
127	0.7249	1.1269	0.0	0.7432	0.045	0.1707	0
221	1.2962	0.1899	1.0	0.4101	0.2806	0.4335	0
455	0.985	0.4361	0.0	0.7989	0.0934	0.3552	0
181	1.4211	0.4361	0.0	0.9467	0.0878	0.0878	0
139	2.3713	1.9401	0.0	0.3119	0.1065	0.3522	1
1985	1.1064	0.6547	1.0	0.3771	0.4121	0.4364	0
52	0.7904	1.5808	0.0	0.4287	0.046	0.49	0
19	0.8873	0.2255	0.0	0.4267	0.4815	0.2317	0
15	0.9288	0.1425	0.0	0.2977	0.3642	0.3039	0
167	0.8668	0.2664	0.0	0.8037	0.0451	0.3673	0
25	1.0712	0.1425	1.0	0.2692	0.4172	0.2926	0
204	1.062	0.1501	0.0	0.2932	0.0525	0.3537	1
152	0.912	0.4848	1.0	0.3789	0.21	0.1579	1
146	1.3455	0.6909	0.0	0.4209	0.4117	0.3941	0
30	0.9026	0.5771	1.0	0.6605	0.2474	0.2628	1
611							1
35							0
117	0.6545	0.3455	0.0	0.2375	0.0135	0.4305	1
2489	0.4517	0.6939	1.0	0.3771	0.4939	0.3709	0
46983	0.4762	0.7302	0.0	0.4022	0.3875	0.3875	0
134538	0.5079	0.9007	0.0	0.6378	0.4916	0.4916	0
559	0.7904	0.3832	0.0	0.481	0.0287	0.2988	0
294							0
516	1.1245	0.185	1.0	0.5524	0.2688	0.2739	0
60	0.4517	0.8445	1.0	0.7092	0.0744	0.2933	1
15	0.9296	0.1407	0.0	0.4626	0.2111	0.3759	0
58	0.6545	0.6909	0.0	0.6795	0.4976	0.4375	0
100	1.5988	1.1717	1.0	0.3504	0.2372	0.4246	0
249	1.5988	0.5368	1.0	0.2493	0.2645	0.1388	1
75							0
12021	1.0	0.3455	0.0	0.0377	0.4688	0.4688	0
70	0.7725	1.5988	0.0	0.5116	0.072	0.1208	1
61							0
70865							0
38942							1
662	0.9418	0.1163	1.0	0.7279	0.011	0.241	1
79	0.4762	0.6243	0.0	0.3165	0.3999	0.419	0
0							0
14	0.4679	0.4876	0.0	0.4141	0.0341	0.4987	0
136							1
24	1.2698	0.0635	1.0	0.318	0.2841	0.4391	0
11	0.985	0.5263	1.0	0.7385	0.3106	0.4837	1
67	0.912	0.6869	0.0	0.2271	0.097	0.364	0
80							0
66	0.9418	0.1163	0.0	0.5105	0.0436	0.3232	1
75775	0.9026	0.5771	1.0	0.2643	0.0128	0.0128	0
17139							0
82							1
33894	0.5079	0.9007	0.0	0.0628	0.2006	0.2006	0
461	0.8952	0.5475	1.0	0.2991	0.1323	0.1973	0
908	0.3255	0.5771	1.0	0.3805	0.2909	0.1392	0
276	1.4211	0.2857	0.0	0.5302	0.0667	0.249	0
367							1
64	0.912	0.4848	1.0	0.2939	0.2704	0.4149	0
82	1.1737	1.1976	0.0	0.2095	0.0904	0.3607	1
44							1
91	1.5988	1.1717	1.0	0.4614	0.1949	0.4929	0
30	1.8517	0.8962	0.0	0.2429	0.2638	0.3679	0
145379	0.9288	0.1425	0.0	0.202	0.3172	0.3172	0
53	1.062	0.1501	0.0	0.5269	0.1742	0.0632	0
32	1.2698	0.0212	0.0	0.4603	0.0148	0.2577	0
627	0.9296	0.1407	0.0	0.5991	0.4535	0.4247	0
526							0
31							0
707	1.8517	0.8962	0.0	0.9335	0.0085	0.1686	1
35	1.291	0.0212	0.0	0.1799	0.0979	0.4846	0
1556	0.6545	0.6909	0.0	0.8656	0.0137	0.0948	0
88	0.4311	0.7425	0.0	0.6283	0.3492	0.4276	1
464	0.8873	0.2255	0.0	0.2119	0.47	0.219	0
512	1.0	0.0	0.0	0.6232	0.1555	0.3898	0
54							1
55	0.6545	0.3455	0.0	0.3586	0.3106	0.2756	0
85	0.912	0.4848	1.0	0.4343	0.1922	0.3229	0
1103							0
41							0
7							0
99							0
63							0
80455	1.1064	0.6547	1.0	0.1728	0.4245	0.4245	0
16	0.6561	0.5503	0.0	0.5903	0.3424	0.1078	0
350							1
153	0.8385	0.3231	1.0	0.5003	0.1439	0.1886	0
17	1.2698	0.0212	0.0	0.2034	0.0244	0.3519	1
5							0
55	1.1245	0.185	0.0	0.3941	0.436	0.3748	0
49	0.7904	0.3832	0.0	0.3485	0.467	0.1262	1
91322	0.4679	1.3839	0.0	0.275	0.4339	0.4339	0
30	1.0	0.0	0.0	0.686	0.3668	0.2202	0
14							0
14							0
41							0
110	0.7249	0.2306	0.0	0.5978	0.4108	0.072	0
44							0
1229	0.8455	0.309	0.0	0.6423	0.0544	0.298	0
36	1.0835	0.3251	0.0	0.4834	0.4123	0.481	0
75	0.5079	0.9007	0.0	0.3245	0.4606	0.4495	0
116							0
85	0.9288	0.1425	1.0	0.5147	0.2768	0.3141	1
1097							0
12							0
173	1.4211	0.4361	1.0	1.0292	0.0219	0.2385	0
159							0
161	0.6545	0.6909	0.0	0.2939	0.2725	0.4532	0
48							0
95	0.5079	0.9007	0.0	0.4595	0.1757	0.3131	0
208573	0.4517	0.6939	1.0	0.2445	0.419	0.419	0
250	1.1332	0.2664	0.0	0.2401	0.1906	0.3745	0
27							0
34							0
452	1.0835	0.3251	1.0	0.2289	0.1533	0.252	0
18157	0.5079	0.9007	0.0	0.1463	0.1086	0.1086	0
415	1.1457	0.1506	0.0	0.7102	0.3735	0.284	0
104	1.1353	0.6767	1.0	0.1668	0.0133	0.0662	0
207	1.1064	0.6547	1.0	0.5997	0.0076	0.4707	0
14263	0.9288	0.1425	0.0	0.2022	0.0904	0.0904	0
62							0
58	0.912	0.4848	1.0	0.36	0.3341	0.332	0
27	0.9418	0.1163	0.0	0.2972	0.4103	0.3122	0
1	1.1064	0.1899	0.0	0.6983	0.4509	0.2274	0
261376	1.471	0.9419	0.0	0.3191	0.1366	0.1366	0
1079							1
9898	1.0835	0.3251	0.0	0.5761	0.2432	0.2432	0
29	1.0704	0.1407	0.0	0.0	0.1375	0.393	0
45	0.7904	1.5808	0.0	0.7965	0.4195	0.2366	0
89							0
29	0.7249	0.2306	0.0	0.7761	0.3915	0.2715	0
161	0.9026	0.4069	0.0	0.3494	0.0756	0.3315	1
272							0
116	1.2962	0.1506	1.0	0.3022	0.1377	0.4705	0
2	0.4311	0.0299	0.0	0.4444	0.105	0.4463	1
78	1.2962	0.8445	1.0	0.4261	0.1761	0.3931	0
352	0.8952	0.5475	0.0	0.6307	0.0492	0.2037	1
41	1.0	0.3455	0.0	0.3977	0.021	0.1396	0
16	1.0835	0.3251	1.0	1.2273	0.1143	0.1182	1
31	1.8517	0.8962	1.0	0.6683	0.0718	0.3026	0
153	0.4586	0.9624	1.0	0.8243	0.0007	0.0193	1
304	0.7904	0.3832	1.0	0.5394	0.0451	0.3925	0
315							0
100							0
857	1.5988	1.1717	1.0	0.9621	0.0109	0.1159	1
66							0
212							0
7221	1.0704	0.1407	0.0	0.172	0.392	0.392	0
71							0
55							0
16	1.0835	0.3251	1.0	1.2034	0.4099	0.4888	0
34	0.8873	0.2255	0.0	0.7995	0.4318	0.4303	0
638	0.9026	0.5771	1.0	0.5373	0.2391	0.3886	0
43	0.4679	1.3839	0.0	0.534	0.0576	0.0576	0
430	0.9026	0.5771	1.0	0.2619	0.081	0.3166	0
57	1.2698	0.0635	1.0	0.5111	0.1418	0.4819	0
3	1.1545	0.309	0.0	0.4274	0.1352	0.4719	1
260	1.062	0.6349	1.0	0.6391	0.0598	0.1054	1
32	1.062	0.5368	0.0	1.0145	0.1879	0.1582	0
228	0.9026	0.5771	1.0	0.3545	0.0633	0.0857	0
231	1.1737	1.1976	0.0	0.9459	0.012	0.4005	0
33							0
874							0
44	0.9296	0.1407	1.0	0.4421	0.3459	0.0611	0
153	0.985	0.4361	0.0	0.4261	0.2449	0.2449	0
46	1.062	0.6349	1.0	0.3938	0.2234	0.3545	1
578	0.6561	0.5503	0.0	0.1926	0.0773	0.2456	0
351	0.4586	0.9624	1.0	0.1817	0.4967	0.1397	0
2	1.1245	0.185	1.0	0.3718	0.0225	0.1061	0
8380	0.912	0.6869	0.0	0.8694	0.1518	0.1518	0
99	1.291	0.0212	0.0	0.5476	0.1624	0.4014	0
321	1.291	0.0212	0.0	0.2685	0.0514	0.4076	0
8	0.9026	0.2219	0.0	0.6264	0.1133	0.2972	1
24	1.0704	0.1407	1.0	0.6192	0.2869	0.2966	1
31	0.4762	0.6243	0.0	0.8317	0.3694	0.4878	0
1675	1.8517	0.8962	0.0	0.4572	0.0373	0.1509	0
48	0.9296	0.1407	0.0	0.6725	0.3742	0.2232	0
10	2.3713	1.5988	0.0	0.4581	0.1944	0.3667	1
353	0.9138	0.1724	0.0	0.5169	0.3174	0.142	0
88							0
86	1.8517	1.3839	0.0	0.7565	0.0064	0.1064	0
158	0.985	0.5263	1.0	0.1788	0.3922	0.1429	0
3							1
42							0
653							0
85	0.4271	1.1717	1.0	1.1861	0.0094	0.0242	0
1853	0.9555	0.4876	0.0	0.2835	0.0183	0.4825	0
7332	0.4271	0.6349	1.0	0.6416	0.3997	0.3997	0
7413	1.471	0.9419	0.0	0.3413	0.2464	0.4467	0
17							0
17	1.4211	0.2857	1.0	0.3381	0.3133	0.2759	1
34	1.2063	0.1058	0.0	0.2708	0.4064	0.4218	1
44							1
163							1
12	1.062	0.5368	0.0	0.2509	0.3034	0.3212	1
47	1.1332	0.2664	0.0	0.0	0.2204	0.1952	1
53							0
40	1.0835	0.3251	0.0	0.5238	0.3967	0.3215	1
186	1.0835	0.3251	1.0	0.7872	0.4018	0.0452	1
59	0.3255	0.984	1.0	0.2001	0.1542	0.1675	0
16	1.291	0.0212	0.0	0.2764	0.0387	0.057	0
1834	1.3095	0.185	0.0	0.739	0.0056	0.127	0
16							0
110	0.4311	1.9401	0.0	0.2366	0.1389	0.1384	0
490							0
7	1.1353	0.6767	1.0	0.3024	0.2656	0.2832	0
178	0.985	0.4361	1.0	0.337	0.0239	0.2498	0
29							1
93	1.0835	0.3251	1.0	0.4621	0.2085	0.2522	0
44	1.062	0.5368	1.0	0.314	0.4096	0.3748	0
58							0
37	0.6561	0.4444	0.0	0.6408	0.2345	0.3732	1
20	0.3255	0.984	1.0	0.8997	0.0425	0.4396	0
27	1.1353	0.2857	0.0	0.2463	0.057	0.3033	0
833	0.6545	0.3455	0.0	0.8657	0.0339	0.1874	0
238	0.6545	0.6909	1.0	0.8693	0.1734	0.409	0
52							0
2546	0.4679	1.3839	0.0	0.131	0.4047	0.4503	0
46							0
195	1.0	0.3455	0.0	0.4683	0.4852	0.3116	0
90							0
117	0.9296	0.1407	1.0	0.2084	0.0121	0.2939	0
143							0
73	1.0	0.3455	0.0	0.7016	0.4413	0.2406	1
52	0.9288	0.1425	0.0	0.6806	0.1183	0.0867	0
54							0
101	0.4679	0.257	0.0	0.4846	0.3277	0.2425	1
221003	1.0712	0.1425	1.0	0.2211	0.3751	0.3751	0
7	0.9288	0.1425	1.0	0.8717	0.2056	0.411	0
43	1.062	0.5368	1.0	0.597	0.4363	0.1781	0
1629							1
115	0.9296	0.1407	1.0	0.7163	0.0794	0.3662	0
12	1.0862	0.1724	1.0	0.3484	0.471	0.2373	0
297	1.1245	0.185	0.0	0.4805	0.1795	0.2003	0
10	1.291	0.0212	0.0	0.1583	0.4508	0.3324	0
28							0
52	1.2698	0.0212	0.0	0.0	0.4274	0.1724	0
33							0
62	0.5079	0.9007	0.0	0.5912	0.3568	0.0676	1
17	0.4311	1.9401	0.0	0.4196	0.4214	0.3076	0
26	0.6545	0.6909	1.0	0.3627	0.0893	0.1692	1
15							0
27							0
39	1.1545	0.309	0.0	0.0	0.1074	0.2502	0
6							0
13	1.4211	0.9624	1.0	0.7639	0.4762	0.3806	0
97							0
11							0
1046							1
86	1.1005	0.6243	0.0	0.219	0.2413	0.3583	0
19	1.3095	0.4069	0.0	0.399	0.1627	0.3013	0
15							1
22	0.4762	0.6243	1.0	0.3733	0.4364	0.3995	0
83	1.1737	1.1976	0.0	0.7778	0.1006	0.4574	0
75							0
164	0.8455	0.309	0.0	0.4267	0.4468	0.1839	1
1007	1.0	0.3455	0.0	0.2319	0.2387	0.4241	0
20	1.8517	1.3839	0.0	0.0	0.4516	0.2809	1
104	0.4311	1.9401	0.0	0.3949	0.0211	0.1452	0
25							0
62	0.3255	0.5771	1.0	0.5642	0.4873	0.4095	0
27	1.1245	0.185	0.0	0.0	0.2919	0.3197	0
173	1.3095	0.984	1.0	0.6232	0.2572	0.3544	0
580	1.3455	0.6909	0.0	0.2006	0.0025	0.4117	0
19							0
5	1.1353	0.6767	1.0	0.2557	0.0285	0.4046	0
2232							0
50	0.6561	0.5503	0.0	0.75	0.1871	0.0621	0
70	1.1064	0.6547	1.0	0.6467	0.1328	0.2226	0
32	0.8455	0.309	0.0	0.8061	0.4516	0.3764	0
28	1.0835	0.3251	1.0	0.3554	0.4107	0.2933	0
107	1.0862	0.1724	0.0	0.1897	0.1661	0.2002	1
105	0.7725	1.5988	0.0	0.2865	0.4161	0.3313	0
54	0.7904	0.3832	0.0	0.7679	0.1065	0.1873	0
28	1.0712	0.1425	0.0	0.3964	0.1323	0.4702	1
317	0.9288	0.1425	1.0	0.1347	0.4136	0.2654	0
54	1.1064	0.6547	1.0	0.3528	0.1918	0.1514	1
72	0.7249	0.2306	0.0	0.4124	0.0502	0.113	0
41	1.1332	0.2664	0.0	0.7382	0.1811	0.2225	0
10	1.0704	0.1407	1.0	0.4048	0.1039	0.2997	0
47							1
46	0.9296	0.1407	1.0	0.9431	0.3	0.4188	0
48	0.985	0.4361	1.0	0.4115	0.1562	0.1218	0
56	0.8952	0.5475	0.0	0.0841	0.246	0.1107	1
328							0
372							1
30							0
429	1.062	0.1501	0.0	0.1481	0.1248	0.4465	1
13	0.7249	0.2306	0.0	0.0	0.1106	0.3019	0
1010	0.9138	0.1724	0.0	0.3249	0.0797	0.1916	1
505	0.9296	0.1407	1.0	0.2064	0.371	0.4509	0
464	1.8517	0.8962	0.0	0.5764	0.0735	0.0965	1
13	0.4586	0.9624	1.0	0.2764	0.1388	0.141	0
44							0
60	1.2962	0.1899	0.0	0.3201	0.3817	0.4508	1
2	0.9026	0.5771	1.0	0.64	0.1542	0.2261	0
15	0.8668	0.2664	0.0	0.2774	0.0664	0.1597	1
49	1.0835	0.3251	1.0	0.5218	0.4096	0.4783	0
46	0.9418	0.1163	0.0	0.172	0.1529	0.279	0
28	0.9555	0.8962	0.0	0.0728	0.3275	0.2749	1
247	1.1737	1.1976	0.0	0.8988	0.0875	0.0875	0
37							0
9	0.9288	0.1425	0.0	0.2456	0.1648	0.1281	0
28							0
3							0
36	0.9288	0.1425	1.0	0.7882	0.2945	0.1369	0
33	0.9288	0.1425	0.0	0.3695	0.3098	0.3193	0
897	1.0	0.0	0.0	0.4178	0.3021	0.4833	0
16							1
63	0.9138	0.1724	1.0	0.5146	0.3324	0.3343	1
415							0
68	0.4679	1.3839	0.0	0.5825	0.1123	0.1281	0
6	0.529	0.9419	0.0	0.0	0.3861	0.0458	0
33	0.4762	0.6243	0.0	0.1607	0.042	0.4867	1
32	0.9288	0.1425	0.0	0.116	0.049	0.4177	0
83	1.0	0.3455	0.0	0.4141	0.4627	0.4535	0
40							0
3107	0.9288	0.1425	0.0	0.148	0.207	0.4307	0
775	0.8952	0.5475	0.0	0.5907	0.3337	0.3337	0
19	1.1245	0.185	0.0	0.0909	0.245	0.3554	0
29	1.0835	0.3251	1.0	0.2664	0.2359	0.2127	0
112	0.8873	0.2255	0.0	0.6236	0.4855	0.2676	0
39	0.9026	0.5771	1.0	0.5751	0.0953	0.1695	0
160							1
37							1
53111	0.8455	0.309	0.0	0.3426	0.0759	0.0759	1
460	2.3713	1.5988	0.0	0.1822	0.0883	0.492	0
11	0.9288	0.1425	1.0	0.8944	0.1284	0.3893	1
380	0.5079	0.9007	0.0	0.4811	0.4782	0.3368	0
169	0.912	0.4848	1.0	0.3896	0.2313	0.3094	0
18	0.8873	0.2255	1.0	0.6466	0.301	0.0485	0
142	0.4762	0.7302	0.0	0.767	0.0166	0.144	0
31	0.9296	0.1407	1.0	0.3186	0.1497	0.4372	0
9	0.6561	0.5503	0.0	0.2385	0.0631	0.4899	1
148	1.1005	0.1058	1.0	0.4233	0.0103	0.3851	0
849							1
31	0.7904	1.5808	0.0	0.3423	0.2041	0.3112	0
17	1.1245	0.185	1.0	0.5333	0.482	0.3895	0
29	0.9138	0.1724	1.0	0.5435	0.0799	0.4544	1
2101	0.9288	0.1425	1.0	0.7023	0.1266	0.1266	1
654							0
27	1.4427	0.5475	0.0	0.4807	0.4847	0.1649	0
40	1.1737	0.3832	0.0	0.1936	0.1574	0.0569	0
